Eye Ratio,Nose And Shoulder Angle,Y Angle,X Angle,Eye Angle,Label
1.5681487831,72.660569964,73.673603741,-176.90702344,51.036011552,0
1.6421002001,71.446218635,72.038883852,-176.82764161,50.396327733,0
1.6672531798,70.809394103,71.753948594,-176.82893781,50.544607664,0
1.7515733809,69.59962187,70.511864864,-177.06227358,47.883367612,0
1.8093539014,68.518334165,69.859765072,-177.40735271,46.60573318,0
1.8441751282,67.950295917,70.242338496,-177.61000895,48.548874472,0
2.1157987638,64.367601987,69.951237704,-177.98925312,48.452193701,0
2.4784169963,61.587913876,70.353378071,-178.67878159,49.135747148,0
2.5593659094,60.843499952,70.029746063,-179.53634392,45.634548269,0
2.6738756104,59.575275255,69.912480166,-179.93195692,42.878132341,0
2.4830869689,57.652334546,68.600707765,179.55348161,32.684811698,0
2.3386981468,55.8512216,68.109602359,178.91902708,27.163231991,0
2.2442495979,53.95535348,68.017749348,178.49710674,24.68014415,0
2.2361219362,52.78884175,68.242929041,178.42332809,24.215526901,0
2.3678928754,51.183249264,69.256678895,178.24699547,23.661636664,0
2.4431855224,50.052283349,69.705875692,178.2445068,22.071465704,0
2.5700665705,49.189163922,70.376360053,178.24007924,21.517858065,0
2.6788564895,48.541520452,70.893406664,178.13212302,20.428202732,0
2.8480610175,48.491143962,71.286224325,178.22927709,21.436562244,0
5.6947674306,49.001308047,74.267542341,179.02609426,51.366763253,0
8.7147514851,48.112080696,76.55276704,179.46083328,106.48701499,0
4.8835240535,47.48756814,78.364153634,179.92773351,147.52870002,0
3.1935284796,47.644701407,79.904061202,-179.89784422,158.95232982,0
2.3536343964,47.932403502,81.468367522,-179.74815463,160.28602991,0
2.0259603143,46.737171376,82.784500458,-179.44222818,175.90289177,0
1.7696531128,46.469996257,83.790822171,-179.25332202,178.37453847,0
1.5985298535,46.441370993,85.382883947,-178.86699112,170.7049586,0
1.217662354,46.545137607,87.504876989,-179.0339631,167.09442838,0
1.1119013398,46.227151545,88.189961207,-179.27876848,171.46769121,0
0.9266957095,45.836974214,89.974984265,-179.31849181,170.03459572,0
0.79732431461,45.271046341,91.107062754,-179.50887124,173.92175943,0
0.74753461697,44.776098926,91.55307975,-179.74112421,177.80636239,0
0.70281118642,44.951030392,92.192146319,-179.84945147,175.57977356,0
0.70393091119,45.09983174,92.185984137,-179.8545331,173.71751582,0
0.70438633786,45.154781255,92.423652305,-179.91559197,172.85999007,0
0.72915919312,45.137141831,92.385577446,-179.8699846,173.61941149,0
0.75525992705,45.204182493,92.242326186,-179.87378691,173.29816377,0
0.7764349,44.97210413,92.017512885,-179.91476209,175.73994626,0
0.79367696137,45.009306255,91.880734609,-179.98498377,176.26616838,0
0.96421186631,45.105083726,90.596882903,-179.84886815,176.59927274,0
